"uid","namedLocation","domainID","siteID","plotID","trapID","weighDate","setDate","collectDate","ovenStartDate","ovenEndDate","fieldSampleID","massSampleID","samplingProtocolVersion","functionalGroup","dryMass","qaDryMass","remarks","measuredBy"
"63d10a1e-4c64-425b-b36d-d73a9b2a0078","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART032293.20160406","NEON.LTR.BART032293.20160406.TWI","NEON.DOC.001710vE","Twigs/branches",30.73,"Y",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"c582bba1-be17-461c-924a-b3db5d01b68a","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART032293.20160406","NEON.LTR.BART032293.20160406.FLR","NEON.DOC.001710vE","Flowers",0.02,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"75aa4e93-5cfb-4e90-8731-99cd2b586fb7","BART_072.basePlot.ltr","D01","BART","BART_072","BART_072_162","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART072162.20160406","NEON.LTR.BART072162.20160406.LVS","NEON.DOC.001710vE","Leaves",0.06,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"79c2b959-4abf-4759-a443-ccb4e5cd9d85","BART_072.basePlot.ltr","D01","BART","BART_072","BART_072_162","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART072162.20160406","NEON.LTR.BART072162.20160406.FLR","NEON.DOC.001710vE","Flowers",0.06,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"131706ee-301b-4490-b909-caad76c874fb","BART_072.basePlot.ltr","D01","BART","BART_072","BART_072_162","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART072162.20160406","NEON.LTR.BART072162.20160406.SDS","NEON.DOC.001710vE","Seeds",0.62,"Y",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"533e23c7-1a79-4034-97fb-7d7b186b9ce6","BART_072.basePlot.ltr","D01","BART","BART_072","BART_072_162","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART072162.20160406","NEON.LTR.BART072162.20160406.NDL","NEON.DOC.001710vE","Needles",0.31,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"b69130d3-587c-4991-858a-2091d7ee88c8","BART_072.basePlot.ltr","D01","BART","BART_072","BART_072_162","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART072162.20160406","NEON.LTR.BART072162.20160406.WDY","NEON.DOC.001710vE","Woody material",2.39,"Y",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"8d12c905-3c62-4b0d-a201-8f831ccb2a07","BART_072.basePlot.ltr","D01","BART","BART_072","BART_072_162","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART072162.20160406","NEON.LTR.BART072162.20160406.OTH","NEON.DOC.001710vE","Other",1.2,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"bac28a48-dbe6-4ecd-9d33-93cbf5c39b4d","BART_072.basePlot.ltr","D01","BART","BART_072","BART_072_162","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART072162.20160406","NEON.LTR.BART072162.20160406.TWI","NEON.DOC.001710vE","Twigs/branches",4.26,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"88b187a5-5930-49cf-9bc8-2cefce354440","BART_050.basePlot.ltr","D01","BART","BART_050","BART_050_046","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART050046.20160406","NEON.LTR.BART050046.20160406.LVS","NEON.DOC.001710vE","Leaves",0.16,"Y",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
